host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,price,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,amenities_encoded
0,1,0.92,0,1.0,1,1,1,1,150.0,1,0,1.0,1.0,0,2.0,2,2.0,3.0,700,3.0,700.0,1,17,17,89,21.0,1,4.95,4.95,4.97,4.99,4.98,4.98,4.89,1,1.72,529
1,1,1.0,1,,1,1,0,1,135.0,1,0,2.0,2.0,0,1.0,1,1.0,2.0,730,2.0,1125.0,0,25,53,290,15.6,5,4.97,4.98,4.95,4.97,4.99,4.93,4.94,2,3.92,304
1,0,0.99,1,1.0,1,1,1,1,167.0,1,0,22.0,38.0,0,1.5,1,2.0,3.0,1125,5.1,1125.0,1,44,74,340,3.0,1,4.76,4.89,4.82,4.95,4.97,4.97,4.7,3,0.3,390
1,1,0.92,1,1.0,1,0,0,1,175.0,1,1,2.0,2.0,0,1.0,1,1.0,3.0,3,3.0,3.0,0,39,69,249,6.0,0,4.96,5.0,5.0,5.0,4.98,5.0,4.73,2,0.47,382
1,1,1.0,1,1.0,1,1,1,1,255.0,1,0,2.0,2.0,1,2.0,3,3.0,3.0,31,3.0,31.0,0,33,63,335,41.0,2,4.77,4.87,4.9,4.91,4.83,4.89,4.73,1,2.46,98
0,1,0.4,0,1.0,1,1,1,1,514.0,1,0,1.0,1.0,0,1.0,2,2.0,9.4,180,10.2,180.0,0,0,0,101,2.0,0,4.97,4.94,4.99,4.98,5.0,5.0,4.74,1,0.64,211
0,1,0.95,1,1.0,1,1,0,1,125.0,1,0,1.0,2.0,0,1.0,1,2.0,2.0,1125,2.0,1125.0,0,32,62,87,24.0,1,4.94,4.94,4.83,4.98,4.98,4.94,4.88,1,1.76,59
1,1,0.91,1,1.0,1,1,1,1,149.0,1,0,1.0,3.0,0,1.0,2,2.0,30.0,1125,30.0,1125.0,1,59,89,303,4.0,1,4.89,4.97,4.92,4.96,4.97,4.97,4.87,1,0.57,15
1,1,1.0,1,1.0,1,1,0,1,200.0,1,0,2.0,2.0,0,1.0,1,2.0,2.0,1125,2.0,1125.0,1,52,82,347,42.0,4,4.99,4.99,4.97,4.99,4.99,4.99,4.95,2,2.3,319
1,1,1.0,0,1.0,1,1,0,1,235.0,1,0,3.0,3.0,0,1.0,1,2.0,3.0,120,3.0,1125.0,1,29,59,215,17.0,2,4.91,4.85,4.94,4.99,5.0,4.96,4.85,3,0.86,546
0,0,0.0,0,1.0,1,1,1,1,140.0,1,0,2.0,9.0,0,2.0,4,3.0,30.0,180,30.0,180.0,0,38,62,62,0.0,0,4.9,4.9,4.9,4.9,4.9,4.9,4.8,1,2.1,101
1,1,1.0,1,1.0,1,1,0,1,1275.0,1,0,2.0,2.0,1,1.6,5,2.3,7.0,120,7.0,120.0,1,53,83,358,0.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,0.01,340
0,0,1.0,0,1.0,1,0,1,1,165.0,1,0,1.0,1.0,1,2.5,4,4.0,30.0,1125,30.0,1125.0,1,60,90,345,2.0,0,4.8,4.86,4.9,4.88,4.83,4.81,4.72,1,1.43,273
1,1,0.95,0,1.0,1,1,0,1,250.0,1,0,1.0,2.0,0,2.0,2,2.0,30.0,1125,30.0,1125.0,1,57,87,362,0.0,0,4.93,5.0,5.0,5.0,5.0,4.85,4.92,1,0.13,249
1,1,1.0,1,1.0,1,1,0,1,154.0,1,0,1.0,1.0,0,1.0,1,3.0,2.0,1125,2.0,1125.0,1,57,87,355,28.0,0,4.91,4.94,4.84,4.98,4.97,4.99,4.82,1,3.35,73
1,1,1.0,1,1.0,1,1,0,1,88.0,1,1,2.0,2.0,0,1.0,1,2.0,3.0,99,3.0,99.0,0,37,67,67,34.0,2,4.86,4.94,4.85,4.96,4.93,4.97,4.83,2,3.56,483
1,1,1.0,1,1.0,1,1,0,1,96.0,1,1,4.0,11.0,0,1.0,1,1.0,2.0,35,9.1,1125.0,1,32,32,36,3.0,0,4.84,4.94,4.87,4.97,4.97,4.88,4.78,2,0.28,360
